code,system
B324z00,readv2
B324000,readv2
B324.00,readv2
B323100,readv2
B327900,readv2
BBE1000,readv2
B326300,readv2
BBE1100,readv2
B327000,readv2
B325700,readv2
B327200,readv2
1425000.0,readv2
B326200,readv2
B322000,readv2
B327600,readv2
B323300,readv2
BBE1.00,readv2
B325000,readv2
B325800,readv2
B326400,readv2
B325300,readv2
B327800,readv2
B325200,readv2
B325100,readv2
B320.00,readv2
B326500,readv2
B323200,readv2
B32y000,readv2
B325400,readv2
B327300,readv2
B32..00,readv2
B325600,readv2
BBEG000,readv2
B32z.00,readv2
B327100,readv2
B321.00,readv2
B327700,readv2
B323500,readv2
B325500,readv2
B327500,readv2
B324100,readv2
54685.0,readv2
22692.0,readv2
71136.0,readv2
865.0,readv2
7483.0,readv2
34259.0,readv2
58835.0,readv2
102116.0,readv2
11922.0,readv2
43463.0,readv2
56925.0,readv2
579.0,readv2
45755.0,readv2
20709.0,readv2
67806.0,readv2
63997.0,readv2
73536.0,readv2
23085.0,readv2
17232.0,readv2
24551.0,readv2
51209.0,readv2
108866.0,readv2
46255.0,readv2
65164.0,readv2
37872.0,readv2
51873.0,readv2
42714.0,readv2
47252.0,readv2
53629.0,readv2
102145.0,readv2
104609.0,readv2
55292.0,readv2
95629.0,readv2
25602.0,readv2
96585.0,readv2
44157.0,readv2
45760.0,readv2
8640.0,readv2
65625.0,readv2
20982.0,readv2
43715.0,readv2
59061.0,readv2
41490.0,readv2
40303.0,readv2
62088.0,readv2
36899.0,readv2
47094.0,readv2
42153.0,readv2
99257.0,readv2
61246.0,readv2
4871.0,readv2
50505.0,readv2
41278.0,readv2
96280.0,readv2
19444.0,readv2
24208.0,readv2
58958.0,readv2
45139.0,readv2
73251.0,readv2
68133.0,readv2
2705.0,readv2
54632.0,readv2
45306.0,readv2
62475.0,readv2
39878.0,readv2
32768.0,readv2
109002.0,readv2
63574.0,readv2
44061.0,readv2
51353.0,readv2
57294.0,readv2
101198.0,readv2
7761.0,readv2
68889.0,readv2
92293.0,readv2
53369.0,readv2
57260.0,readv2
54305.0,readv2
70637.0,readv2
49814.0,readv2
55881.0,readv2
38689.0,readv2
73744.0,readv2
28556.0,readv2
64327.0,readv2
C43,readv2
BBEN.11,readv2
BBE1.13,readv2
BBE4.00,readv2
7G03J00,readv2
BBE2.00,readv2
BBEH.00,readv2
BBEP.00,readv2
4M3..00,readv2
BBEA.00,readv2
BBET.00,readv2
BBEQ.00,readv2
BBES.00,readv2
B325z00,readv2
B325.00,readv2
BBEG.00,readv2
BBEF.00,readv2
4M73.00,readv2
4M70.00,readv2
4M72.00,readv2
4M71.00,readv2
4M74.00,readv2
BBEF.11,readv2
BBEG.11,readv2
B323z00,readv2
B323000,readv2
Byu4000,readv2
B323.00,readv2
B323400,readv2
B327400,readv2
B327z00,readv2
B327.00,readv2
BBEM.00,readv2
BBEC.00,readv2
B326000,readv2
B32y.00,readv2
Byu4100,readv2
B326.00,readv2
B326100,readv2
B326z00,readv2
BBE1.12,readv2
B322100,readv2
B322z00,readv2
B322.00,readv2
BBE1.11,readv2